Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
    136       7     1300       4780       0.06   5980   0 svchost
    591      27    17500      26004       9.73   5988   0 svchost
    510      19     4440      11768       8.25   6584   0 svchost
    285      21     2608       6848       4.94   6800   0 svchost
    398      24     3508      10656       0.55   6820   0 svchost
    109       7     1344       4652       0.27   6860   0 svchost
    179      13     2092       7692       0.13   7984   0 svchost
    227      12     2580       8892       0.48   8352   0 svchost
    177      10     1848       7928       0.16   8896   0 svchost
    262      12     4400       8808       0.27   9672   0 svchost
    158      10     2140       7924       0.20   9940   0 svchost
    186      12     2516       9372       1.33  10076   0 svchost
    300      14     3520      19216       0.59  10156   1 svchost
    291      14     3968      10620       1.48  10452   0 svchost
    137       8     1756       5976       0.11  10524   0 svchost
    191      15     6760       8384       0.08  10732   0 svchost
    545      31    11680      18940       2.11  10768   0 svchost
    217      15     2360       9160       3.81  11108   0 svchost
    140       8     1604       6344       0.02  12328   1 svchost
    281      17     4808      14584      19.38  12644   0 svchost
    159       9     1852       9576       0.14  13796   0 svchost
    244      14     2920      10096       0.16  14688   1 svchost
    439      20     6784      16688      17.03  15368   0 svchost
    210      12     2760       8880       4.11  15496   0 svchost
    290      12     2940      11076       0.23  15640   0 svchost
    234      11     2612       7916       0.23  16688   0 svchost
    335      16     7236      17004       1.70  16888   0 svchost
    257      16     2764      10620       2.44  17292   0 svchost
    140       9     1732       6404       0.09  18336   0 svchost
    271      16     3120       8800       2.81  19660   0 svchost
    425      17     4848      18332       0.70  20336   0 svchost
    643      17    10304      19748     206.55   6576   1 SynTPEnh
    373      13     3928       8800       4.50   2984   0 SynTPEnhService
    210       7     2172       4412       0.06   9544   1 SynTPHelper
   6981       0      200       3516   1,690.08      4   0 System
    884      42    23064        580       1.00  10996   1 SystemSettings
    533      25     8852      29928       2.70  16468   1 SystemSettingsBroker
    328      43    10444      19508       1.84   4216   1 taskhostw
    204      12     2244       9024       0.31  10424   0 tbtsvc
    770      29    28884       1972       3.27  11156   1 Thunderbolt
    295      16     3360      11648       1.67   6568   0 tphkload
    289      14     2868      13492       3.39   8716   1 tposd
    149       8     2024       6968       0.27   9048   0 unsecapp
    203      10     3584       9236       0.66   5712   0 vmcompute
      0       0       40          0     196.84  12604   0 vmmem
      0       0       40          0     233.09  12696   0 vmmem
      0       0       40          0     216.13  12804   0 vmmem
      0       0       40          0     120.19  13724   0 vmmem
      0       0       40          0     177.52  14092   0 vmmem
    795      26    52456      30592       5.41   6596   0 vmms
    422      20     8192      13940      16.41  12652   0 vmwp
    439      20     8720      13880      16.97  12772   0 vmwp
    408      19     7600      14176       9.30  13120   0 vmwp
    437      20     8400      14204      11.36  13444   0 vmwp
    434      20     9132      14444      11.16  14044   0 vmwp
   1397      43    20668      38980       2.63  16520   1 vsls-agent
    510      22    12216      41236       1.84  15604   1 WindowsInternal.ComposableShell.Experiences.TextInput.In...
    159      11     1428       5236       0.08   1156   0 wininit
    297      14     3048      12420       0.66   1512   1 winlogon
   1165      49    71596     162172       9.78  11912   1 WINWORD
    405      19     5332      15976       1.19   4660   0 wlanext
    385      21    11636      13536       9.44   9336   0 WmiPrvSE
    211       8     3536       5636       0.08   1444   0 WUDFHost
    300      14     2932      10888       2.81   1644   0 WUDFHost
    342      15    10376      16116       3.08   2012   0 WUDFHost
    217       7     1736       5268       0.20   2828   0 WUDFHost
    344      20     4640      15220       2.78   5924   0 ZeroConfigService


